0,AB,ALBERTA
1,AK,ALASKA
2,AL,ALABAMA
3,AR,ARKANSAS
4,AS,AMERICAN SAMOA
5,AZ,ARIZONA
6,BC,BRITISH COLUMBIA
7,CA,CALIFORNIA
8,CO,COLORADO
9,CT,CONNECTICUT
10,DC,DISTRICT OF COLUMBIA
11,DE,DELAWARE
12,FL,FLORIDA
13,FM,MICRONESIA
14,GA,GEORGIA
15,GU,GUAM
16,HI,HAWAII
17,IA,IOWA
18,ID,IDAHO
19,IL,ILLINOIS
20,IN,INDIANA
21,KS,KANSAS
22,KY,KENTUCKY
23,LA,LOUISIANA
24,MA,MASSACHUSETTS
25,MB,MANITOBA
26,MD,MARYLAND
27,ME,MAINE
28,MH,MARSHALL ISLANDS
29,MI,MICHIGAN
30,MN,MINNESOTA
31,MO,MISSOURI
32,MP,NORTHERN MARIANA ISLANDS
33,MS,MISSISSIPPI
34,MT,MONTANA
35,NB,NEW BRUNSWICK
36,NC,NORTH CAROLINA
37,ND,NORTH DAKOTA
38,NE,NEBRASKA
39,NH,NEW HAMPSHIRE
40,NJ,NEW JERSEY
41,NL,NEWFOUNDLAND AND LABRADOR
42,NM,NEW MEXICO
43,NS,NOVA SCOTIA
44,NT,NORTHWEST TERRITORIES
45,NU,NUNAVUT
46,NV,NEVADA
47,NY,NEW YORK
48,OH,OHIO
49,OK,OKLAHOMA
50,ON,ONTARIO
51,OR,OREGON
52,PA,PENNSYLVANIA
53,PE,PRINCE EDWARD ISLAND
54,PI,PACIFIC ISLANDS
55,PR,PUERTO RICO
56,PW,PALAU
57,QC,QUEBEC
58,RI,RHODE ISLAND
59,SC,SOUTH CAROLINA
60,SD,SOUTH DAKOTA
61,SK,SASKATCHEWAN
62,TN,TENNESSEE
63,TX,TEXAS
64,UM,U.S. MINOR OUTLYING ISLANDS
65,UT,UTAH
66,VA,VIRGINIA
67,VI,VIRGIN ISLANDS
68,VT,VERMONT
69,WA,WASHINGTON
70,WI,WISCONSIN
71,WV,WEST VIRGINIA
72,WY,WYOMING
73,YT,YUKON TERRITORY
